Year,Word,Count,Category
2011,tarantini,30,person
2011,giustizia,29,politics
2012,pdl,159,politics
2012,monti,131,person
2012,alfano,68,person
2012,ruby,59,person
2012,lega,39,politics
2012,nuovo,38,other
2012,primarie,38,politics
2012,governo,37,politics
2012,premier,36,politics
2012,ritorno,36,sentiment
2012,tv,36,other
2012,bersani,35,person
2012,campo,34,politics
2012,pd,33,politics
2012,processo,30,legal
2012,milan,30,business
2012,pm,30,legal
2012,solo,28,sentiment
2012,casini,27,person
2012,bossi,26,person
2012,soldi,26,other
2012,caso,26,sentiment
2012,torna,24,verb
2012,politica,23,politics
2012,basta,22,sentiment
2012,mediaset,22,business
2012,legge,21,politics
2012,mills,20,person
2012,grillo,20,person
2012,addio,20,sentiment
2013,pdl,228,politics
2013,governo,167,politics
2013,pd,161,politics
2013,decadenza,149,sentiment
2013,letta,109,person
2013,monti,108,person
2013,alfano,99,person
2013,voto,99,politics
2013,rnews,98,business
2013,bersani,92,person
2013,crisi,79,sentiment
2013,grillo,75,person
2013,napolitano,68,person
2013,renzi,62,person
2013,milan,59,business
2013,solo,58,sentiment
2013,ruby,56,person
2013,giunta,55,legal
2013,imu,54,politics
2013,senato,53,politics
2013,piazza,51,other
2013,colle,50,politics
2013,mediaset,50,business
2013,processo,46,legal
2013,legge,44,politics
2013,elezioni,43,politics
2013,sentenza,43,legal
2013,attacca,42,verb
2013,tv,42,other
2013,caso,42,sentiment
2014,renzi,221,person
2014,riforme,79,politics
2014,milan,74,business
2014,rnews,67,business
2014,fi,63,politics
2014,grillo,63,person
2014,pd,56,politics
2014,legge,48,politics
2014,europee,48,politics
2014,italicum,48,politics
2014,patto,47,sentiment
2014,governo,47,politics
2014,servizi,45,legal
2014,ruby,41,person
2014,senato,41,politics
2014,processo,40,legal
2014,elettorale,40,politics
2014,premier,39,politics
2014,sociali,38,legal
2014,solo,36,sentiment
2014,fitto,33,person
2014,matteo,31,person
2014,incontro,30,verb
2014,sì,29,other
2014,seedorf,29,person
2014,barbara,28,person
2014,inzaghi,28,person
2014,giudici,28,legal
2014,colle,28,politics
2014,politica,26,politics
2015,renzi,141,person
2015,milan,101,business
2015,salvini,96,person
2015,fitto,60,person
2015,ruby,43,person
2015,pd,42,politics
2015,fi,36,politics
2015,riforme,33,politics
2015,lega,30,politics
2015,bee,27,business
2015,processo,26,legal
2015,solo,26,sentiment
2015,quirinale,23,politics
2015,alfano,23,person
2015,centrodestra,22,politics
2015,patto,22,sentiment
2015,premier,22,politics
2015,sì,22,other
2015,sinistra,21,politics
2015,nuovo,20,other
2015,verdini,20,person
2015,escort,20,legal
2015,milano,20,location
2015,candidato,19,politics
2015,campo,18,politics
2015,reptv,18,other
2015,sfida,17,verb
2015,milioni,17,politics
2015,primarie,16,politics
2015,inzaghi,16,person
2016,milan,106,business
2016,salvini,61,person
2016,roma,60,location
2016,renzi,45,person
2016,bertolaso,40,person
2016,parisi,37,person
2016,meloni,32,person
2016,milano,30,location
2016,solo,28,sentiment
2016,fi,24,politics
2016,referendum,24,politics
2016,centrodestra,21,politics
2016,marchini,21,person
2016,cinesi,20,location
2016,mihajlovic,18,person
2016,sì,18,other
2016,comunali,17,politics
2016,mediaset,17,business
2016,elezioni,15,politics
2016,leader,15,sentiment
2016,napoli,14,location
2016,escort,14,legal
2016,politica,13,politics
2016,tv,13,other
2016,nuovo,12,other
2016,partito,12,politics
2016,porta,12,other
2016,campo,12,politics
2016,processo,12,legal
2016,operato,12,event
2017,salvini,91,person
2017,renzi,55,person
2017,pd,36,politics
2017,centrodestra,33,politics
2017,legge,28,politics
2017,elettorale,27,politics
2017,milan,26,business
2017,milano,25,location
2017,sicilia,25,location
2017,elezioni,23,politics
2017,voto,19,politics
2017,premier,18,politics
2017,grillo,17,person
2017,torna,17,verb
2017,lega,16,politics
2017,candidato,16,politics
2017,governo,16,politics
2017,milioni,15,politics
2017,solo,15,sentiment
2017,patto,15,sentiment
2017,basta,15,sentiment
2017,ruby,14,person
2017,regionali,14,politics
2017,mediaset,13,business
2017,sinistra,13,politics
2017,arcore,12,location
2017,alleanza,12,politics
2017,processo,12,legal
2017,fi,12,politics
2017,sì,12,other
2018,salvini,200,person
2018,governo,94,politics
2018,maio,74,person
2018,elezioni,56,politics
2018,lega,56,politics
2018,renzi,49,person
2018,centrodestra,48,politics
2018,pd,34,politics
2018,rai,30,politics
2018,premier,30,politics
2018,fi,23,politics
2018,voto,21,politics
2018,monza,19,location
2018,solo,18,sentiment
2018,consultazioni,17,politics
2018,attacca,16,verb
2018,meloni,16,person
2018,foa,16,person
2018,sorrentino,15,person
2018,show,14,verb
2018,patto,13,sentiment
2018,accordo,13,sentiment
2018,grillo,13,person
2018,nuovo,13,other
2018,sì,13,other
2018,casellati,13,person
2018,milano,12,location
2018,toti,12,person
2018,vertice,11,politics
2018,politica,11,politics
2019,salvini,67,person
2019,lega,23,politics
2019,europee,21,politics
2019,governo,21,politics
2019,carfagna,21,person
2019,centrodestra,20,politics
2019,fi,17,politics
2019,toti,16,person
2019,mediaset,14,business
2019,processo,14,legal
2019,piazza,13,other
2019,renzi,12,person
2019,partito,11,politics
2019,ritorno,10,sentiment
2019,nuovo,9,other
2019,futuro,9,sentiment
2019,bene,9,sentiment
2019,ruby,8,person
2019,corsa,8,sentiment
2019,solo,8,sentiment
2019,escort,8,legal
2019,leader,8,sentiment
2019,maio,8,person
2019,sfida,8,verb
2019,pier,8,person
2019,giudici,7,legal
2019,voto,7,politics
2019,ter,6,politics
2019,bari,6,location
2019,voti,6,politics
2020,salvini,37,person
2020,covid,21,event
2020,coronavirus,20,event
2020,fi,16,politics
2020,governo,16,politics
2020,meloni,16,person
2020,monza,13,location
2020,mes,13,politics
2020,positivo,12,sentiment
2020,conte,11,person
2020,zangrillo,11,person
2020,solo,9,sentiment
2020,centrodestra,9,politics
2020,destra,9,politics
2020,pd,8,politics
2020,sì,8,other
2020,chiama,8,verb
2020,lega,8,politics
2020,prodi,8,person
2020,regionali,7,politics
