,Year,Word,Frequency,Category
580,2003,fini,13,person
581,2003,riforme,12,politics
582,2003,rai,12,business
583,2003,caso,12,sentiment
584,2003,prodi,12,person
585,2003,pensioni,11,politics
586,2003,ciampi,11,sentiment
587,2003,giudici,11,other
588,2003,vertice,11,business
589,2003,solo,11,sentiment
590,2003,sfida,10,sentiment
591,2003,putin,10,business
592,2003,governo,10,politics
593,2003,basta,10,sentiment
594,2003,tv,9,other
595,2003,sinistra,9,politics
596,2003,frena,9,person
597,2003,cena,9,politics
598,2003,chiama,9,person
599,2003,crisi,9,sentiment
600,2004,tasse,57,politics
601,2004,fini,34,person
602,2004,bossi,33,person
603,2004,solo,30,sentiment
604,2004,prodi,29,person
605,2004,alleati,29,politics
606,2004,tv,27,other
607,2004,an,24,person
608,2004,ue,23,sentiment
609,2004,governo,22,politics
610,2004,premier,21,politics
611,2004,lega,20,politics
612,2004,udc,19,politics
613,2004,attacca,18,sentiment
614,2004,iraq,18,location
615,2004,patto,18,sentiment
616,2004,crisi,18,sentiment
617,2004,attacco,17,person
618,2004,tagli,17,politics
619,2004,riforma,16,sentiment
620,2004,bush,16,person
621,2004,follini,16,person
622,2004,calcio,16,business
623,2004,milan,15,business
624,2004,verifica,15,other
625,2004,ulivo,15,politics
626,2004,ciampi,15,sentiment
627,2004,dice,15,verb
628,2004,sì,15,other
629,2004,avanti,15,business
630,2005,casini,26,person
631,2005,prodi,25,person
632,2005,follini,24,person
633,2005,governo,23,politics
634,2005,lega,20,politics
635,2005,attacca,18,sentiment
636,2005,an,16,person
637,2005,fazio,16,person
638,2005,voto,16,politics
639,2005,solo,14,sentiment
640,2005,attacco,14,person
641,2005,regionali,13,location
642,2005,scontro,13,sentiment
643,2005,sfida,13,sentiment
644,2005,udc,13,politics
645,2005,fini,12,person
646,2005,scrive,11,verb
647,2005,premier,11,politics
648,2005,nuovo,11,other
649,2005,ue,11,sentiment
650,2005,formigoni,10,person
651,2005,sì,10,other
652,2005,vertice,10,business
653,2005,bossi,10,person
654,2005,sinistra,10,politics
655,2005,ciampi,10,sentiment
656,2005,tv,10,other
657,2005,moratti,10,person
658,2005,cdl,9,politics
659,2005,frena,9,person
660,2006,prodi,113,person
661,2006,tv,48,other
662,2006,cdl,35,politics
663,2006,casini,34,person
664,2006,attacca,34,sentiment
665,2006,scontro,27,sentiment
666,2006,fini,24,person
667,2006,sinistra,21,politics
668,2006,governo,20,politics
669,2006,duello,19,person
670,2006,usa,19,politics
671,2006,solo,16,sentiment
672,2006,sfida,16,sentiment
673,2006,ciampi,16,sentiment
674,2006,caso,15,sentiment
675,2006,politica,15,politics
676,2006,attacco,15,person
677,2006,voto,15,politics
678,2006,quirinale,15,politics
679,2006,unipol,14,business
680,2006,ds,14,politics
681,2006,sì,13,other
682,2006,bossi,13,person
683,2006,piazza,13,other
